Art17_FLAaggloID,ReportNetEnvelopeFileId,flarepCode,aggCode,aggName,flaggComments,flaggEUFund,flaggEUFundName,flaggExpecDateCompletion,flaggExpecDateStart,flaggExpecDateStartWork,flaggExpLoad,flaggExpLoadColl,flaggExpLoadIAS,flaggInv,flaggLoan,flaggLoanName,flaggMeasures,flaggOtherFund,flaggOtherFundName,flaggReasons,flaggStatus
909,23209,SK5,SKA3060344,Udica,,8100000,185,20211201,20190701,20200101,,,,9000000,,,building of a collecting system,,,absence of collecting system,NC
910,23209,SK5,SKA6030530,Valaska,,9086000,185,20200801,20160101,20160601,,,,10096000,,,building of a collecting system,,,absence of collecting system,NC
911,23209,SK5,SKA3070361,Valaska Bela,,5621440,185,20190601,20161201,20170601,,,,6246050,,,building of a collecting system,,,,PD
912,23209,SK5,SKA3010313,Velke Hoste,,3257410,185,20211201,20190701,20200129,,,,3428850,,,building of a collecting system,,,,PD
913,23209,SK5,SKA2010255,Vrakun,,12000000,185,20191201,20170101,20170101,,,,12000000,,,building of a collecting system,,,,PD
914,23209,SK5,SKA2010253,Vydrany,,11791200,185,20190801,20160601,20160901,,,,12411800,,,building of a collecting system,,,,PD
915,23209,SK5,SKA5030468,Zaskov,,19625000,185,20201201,20151201,20170501,,,,25700000,,,building of a collecting system,,,,PD
916,23209,SK5,SKA4020408,Zeliezovce,,7618320,185,20170901,20151101,20160401,,,,8019280,,,building of a collecting system,,,absence of collecting system,NC
917,23209,SK5,SKA4010403,Zemianska Olca,investments aggregated for collecting system and WWTP,6650000,185,20181201,20160501,20160901,,,,7000000,,,building of a collecting system,,,absence of collecting system,NC
918,23209,SK5,SKA6110549,Zvolenska Slatina,aggregated investments mentioned in agglomeration Ocova,0,185,20201201,20160301,20160901,,,,0,,,building of a collecting system,,,,PD
1457,26865,RO05,ROAG_160840,Mihai Bravu,,0,,20181231,20151231,20161231,2356,100,0,2,0,,Construction of sewerage network = 7 km,2,National and local budget,NR,PD
1464,26865,RO05,ROAG_62887,Sacele ,,0,,20201231,20151231,20161231,2042,100,0,3,0,,Construction of sewerage system = 18.86 km,3,National and local budget,NR,PD
1601,26999,BG5,BGAG02720_00,Banya,,,,20231231,20201231,20201231,,,,2.68,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
807,23172,613,LU_AGGL_502_01,Bissen,,,,20181231,20100104,20160105,,,,2711650,,,closing of uwwtp of Bissen and connected to the uwwtp of Bleesbruck,,,increase of the load,NC
808,23172,613,LU_AGGL_501_01,Berg,,,,20180112,20120111,20140107,,,,42131800,,,extension and modernization of uwwtp of Bleesbruck,,,new requirements,NC
809,23172,613,LU_AGGL_707_01,Ettelbruck,,,,20180112,20120111,20140107,,,,42131800,,,extension and modernization of uwwtp of Bleesbruck,,,new requirements,NC
810,23172,613,LU_AGGL_704_01,Diekirch,,,,20180112,20120111,20140107,,,,42131800,,,extension and modernization of uwwtp of Bleesbruck,,,new requirements,NC
811,23172,613,LU_AGGL_702_01,Bettendorf,,,,20180112,20120111,20140107,,,,42131800,,,extension and modernization of uwwtp of Bleesbruck,,,new requirements,NC
812,23172,613,LU_AGGL_1_01,Luxembourg,,,,20160105,20060107,20120101,,,,47637300,,,closing uwwtp of Bonnevoie and connecting to uwwtp of Beggen,,,new requirements,NC
1622,26999,BG5,BGAG03620_00,Belozem,,,,20231231,20201231,20201231,,,,13.1,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1642,26999,BG5,BGAG05339_00,Bolyartsi,,,,20231231,20201231,20201231,,,,8.4,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1662,26999,BG5,BGAG06224_00,Bregovo,,,,20231231,20201231,20201231,,,,8.46,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1740,26999,BG5,BGAG11394_00,Vladaia,,,,20231231,20201231,20201231,,,,12.3,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1783,26999,BG5,BGAG15944_00,Shivachevo,,,,20231231,20201231,20201231,,,,11.02,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1799,26999,BG5,BGAG18157_00,Gurkovo,,,,20231231,20201231,20201231,,,,1.3,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1808,26999,BG5,BGAG20184_00,Dve mogili,,,,20231231,20201231,20201231,,,,14.31,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1817,26999,BG5,BGAG20465_00,Devin,,,,20231231,20201231,20201231,,,,1.87,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1844,26865,RO05,ROAG_108561,"Remeti (Remeti, Piatra, Teceu Mic)",,0,,20191231,20161231,20171231,3040,92,8,0,0,,Construction of sewage collecting system in Remeti,,,NR,PD
1865,26999,BG5,BGAG24582_00,Dalgo pole,,,,20231231,20201231,20201231,,,,7.13,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1880,26999,BG5,BGAG27499_00,Enina,,,,20231231,20201231,20201231,,,,8.36,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1891,26999,BG5,BGAG31044_00,Zlatitsa,,,,20231231,20201231,20201231,,,,1.4,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1932,26999,BG5,BGAG37023_00,Kiten,,,,20231231,20201231,20201231,,,,0.34,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1940,26999,BG5,BGAG38558_00,Koprivshtitsa,,,,20231231,20201231,20201231,,,,0.65,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1950,26999,BG5,BGAG39089_00,Kochan,,,,20231231,20201231,20201231,,,,1.81,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1960,26999,BG5,BGAG40004_00,Krumovo,,,,20231231,20201231,20201231,,,,8.96,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1968,26999,BG5,BGAG40525_00,Kula,,,,20231231,20201231,20201231,,,,5.92,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1988,26999,BG5,BGAG44478_00,Laki,,,,20231231,20201231,20201231,,,,0.07,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1996,26999,BG5,BGAG47086_00,Manole,,,,20231231,20201231,20201231,,,,10.08,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2041,26999,BG5,BGAG55782_00,Iskar,,,,20231231,20201231,20201231,,,,8.15,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2091,26999,BG5,BGAG65139_00,Sadovo,,,,20231231,20201231,20201231,,,,11.05,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2103,26999,BG5,BGAG65869_00,Svoge,,,,20231231,20201231,20201231,,,,10.55,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2112,26999,BG5,BGAG67088_00,Slavyanovo,,,,20231231,20201231,20201231,,,,13.35,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2219,26999,BG5,BGAG40083_00,Krushare,,,,20231231,20201231,20201231,,,,7.48,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2227,26999,BG5,BGAG07332_00,Balgarovo,,,,20231231,20201231,20201231,,,,8.75,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2238,26999,BG5,BGAG52218_00,Apriltsi,,,,20231231,20201231,20201231,,,,9.62,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2283,26865,RO05,ROAG_104840,Roata De Jos,,0,,20141231,20090303,20101231,7999,100,0,10,0,,Extension of the collecting system,10,National budget,NR,PD
2287,26865,RO05,ROAG_101305,Branesti,,0,,20171231,20131231,20141231,9648,100,0,3,0,,Extension of the sewage network,3,National and local budget,NR,PD
2290,26865,RO05,ROAG_105632,Ulmi,,0,,20191231,20151231,20161231,7375,100,0,8,0,,Construction of a new sewage treatment works,8,National budget,NR,PD
2294,26865,RO05,ROAG_67416,Dragomiresti ,,1,184,20191231,20151231,20161231,6818,100,0,3,0,,Extesion of the sewage network,1,National and local budget,NR,PD
2300,26865,RO05,ROAG_102295,Crevedia,,0,,20171231,20131231,20141231,6237,100,0,3,0,,Construction of a new sewage treatment works,3,National and local budget,NR,PD
2308,26865,RO05,ROAG_102918,Fratesti,,7,184,20191231,20151231,20161231,5526,100,0,7,0,,Construction of a new sewage treatment works,0,,NR,PD
2315,26865,RO05,ROAG_67844,Ludesti,,1,184,20161231,20111231,20121231,5058,100,0,1,0,,Extesion of the sewage network,0,,NR,PD
2321,26865,RO05,ROAG_102357,Crevedia Mare,,9,185,20191231,20151231,20161231,4863,100,0,9,0,,Construction of a new sewage treatment works,0,,NR,PD
2326,26865,RO05,ROAG_103023,Fundeni,,0,,20191231,20151231,20161231,4735,100,0,5,0,,Construction of a new sewage treatment works,5,National and local budget,NR,PD
2330,26865,RO05,ROAG_13917,Albesti de Muscel ,,0,,20171231,20111231,20121231,4554,100,0,2,0,,Construction of a new sewage treatment works,2,National budget,NR,PD
2335,26865,RO05,ROAG_104494,Ogrezeni,,2,184,20191231,20151231,20161231,4466,100,0,2,0,,Construction of a new sewage treatment works,0,,NR,PD
2336,26865,RO05,ROAG_68985,Uliesti,,0,,20191231,20151231,20161231,4432,100,0,2,0,,Construction of a new sewage treatment works,2,National and local budget,NR,PD
2363,26865,RO05,ROAG_101350,Brezoaele ,,0,,20171231,20131231,20141231,3794,100,0,1,0,,Extesion of the sewage network,1,National and local budget,NR,PD
2364,26865,RO05,ROAG_17655,Musatesti,,0,,20161231,20111231,20121231,3791,100,0,2,0,,Construction of a new sewage treatment works,2,National and local budget,NR,PD
2360,26865,RO05,ROAG_101626,Buturugeni,,0,,20191231,20151231,20161231,3851,100,0,2,0,,Construction of a new sewage treatment works,2,National and local budget,NR,PD
2361,26865,RO05,ROAG_152092,Blejesti,,4,Other funds,20191231,20151231,20161231,3831,100,0,4,0,,Construction of a new sewage treatment works,0,,NR,PD
2352,26865,RO05,ROAG_65510,Ulmi,,0,,20161231,20111231,20121231,3961,100,0,1,0,,Construction of a new sewage treatment works,1,Own sources,NR,PD
2354,26865,RO05,ROAG_105589,Tunari,,0,,20171231,20131231,20141231,5720,100,0,2,0,,Construction of a new sewage treatment works,2,National and local budget,NR,PD
2356,26865,RO05,ROAG_68878,Salcioara,,0,,20161231,20111231,20121231,3896,100,0,2,0,,Construction of a new sewage treatment works,2,National and local budget,NR,PD
2359,26865,RO05,ROAG_102044,Clinceni,,0,,20141231,20101231,20111231,7298,100,0,9,0,,Extension of the sewage network,9,National and local budget,NR,PD
2349,26865,RO05,ROAG_153348,Marzanesti ,,0,,20191231,20151231,20161231,4018,100,0,5,0,,Construction of a new sewage treatment works,5,National and local budget,NR,PD
2350,26865,RO05,ROAG_69349,Visina,,0,,20191231,20151231,20161231,4006,100,0,3,0,,Construction of a new sewage treatment works,3,National and local budget,NR,PD
2351,26865,RO05,ROAG_15242,Cateasca,,0,,20161231,20111231,20121231,4001,100,0,2,0,,Construction of a new sewage treatment works,2,National and local budget,NR,PD
1465,26865,RO05,ROAG_160314,Daeni,,0,,20181231,20151231,20161231,2016,100,0,5,0,,Construction of sewerage network = 25 km,5,National and local budget,NR,PD
2333,26865,RO05,ROAG_153286,Maldaeni ,,0,,20171231,20131231,20141231,4485,100,0,1,0,,Construction of a new sewage treatment works,1,National and local budget,NR,PD
1970,26999,BG5,BGAG40717_00,Kurtovo konare,,,,20231231,20201231,20201231,,,,8.43,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1977,26999,BG5,BGAG43476_00,Letnitsa,,,,20231231,20201231,20201231,,,,0.49,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1979,26999,BG5,BGAG44063_00,Lozen,,,,20231231,20201231,20201231,,,,22.54,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1981,26999,BG5,BGAG44094_00,Lozenets,,,,20231231,20201231,20201231,,,,2.42,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1459,26865,RO05,ROAG_161062,Nufaru,,0,,20181231,20151231,20161231,2273,100,0,3,0,,Extension of sewerage network =  9.2 km,3,National and local budget,NR,PD
1460,26865,RO05,ROAG_160109,Ceamurlia de Jos,,0,,20181231,20121231,20131231,2163,100,0,1,0,,Extension of sewerage network = 9.67 km,1,National and local budget,NR,PD
1461,26865,RO05,ROAG_160181,Chilia Veche,,0,,20181231,20151231,20161231,2132,100,0,1,0,,Extension of sewerage network = 13.347 km,1,National and local budget,NR,PD
1456,26865,RO05,ROAG_159954,Carcaliu,,0,,20181231,20151231,20161231,2457,100,0,1,0,,Construction of sewerage network = 5 km,1,National and local budget,NR,PD
1990,26999,BG5,BGAG46045_00,Madan,,,,20231231,20201231,20201231,,,,1.26,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1992,26999,BG5,BGAG46663_00,Malko Tarnovo,,,,20231231,20201231,20201231,,,,0.68,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1998,26999,BG5,BGAG47278_00,Simeonovgrad,,,,20231231,20201231,20201231,,,,17.95,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2000,26999,BG5,BGAG47295_00,Markovo,,,,20231231,20201231,20201231,,,,7.34,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2002,26999,BG5,BGAG47336_00,Marten,,,,20231231,20201231,20201231,,,,20.45,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2003,26999,BG5,BGAG48043_00,Mizia,,,,20231231,20201231,20201231,,,,16.81,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
1447,26865,RO05,ROAG_61381,Cogealac,,5,185,20181231,20121231,20131231,3081,100,0,5,0,,Extension of sewerage network = 23.44 km,0,,NR,PD
1462,26865,RO05,ROAG_160573,Izvoarele,,0,,20181231,20151231,20161231,2049,100,0,3,0,,Construction of sewerage network = 7.2 km,3,National and local budget,NR,PD
1939,26999,BG5,BGAG37863_00,Koynare,,,,20231231,20201231,20201231,,,,12.27,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2116,26999,BG5,BGAG67338_01,Rechica (Sliven),,,,20231231,20201231,20201231,,,,13.81,,,Building of a collecting system or IAS,,,Absence of collection and IAS,NC
2309,26865,RO05,ROAG_103247,Ghimpati,,0,,20191231,20151231,20161231,5458,100,0,2,0,,Construction of a new sewage treatment works,2,National budget,NR,PD
2310,26865,RO05,ROAG_103096,Gaiseni,,7,184,20191231,20151231,20161231,5412,100,0,7,0,,Construction of a new sewage treatment works,0,,NR,PD
2312,26865,RO05,ROAG_154843,Tiganesti ,,5,185,20181231,20141231,20151231,5289,100,0,5,0,,Construction of a new sewage treatment works and new pumping station,0,,NR,PD
1436,26865,RO05,ROAG_161044,Niculitel,,0,,20181231,20151231,20161231,4297,100,0,1,0,,Extension of sewerage network = 7.014 km,1,National and local budget,NR,PD
1440,26865,RO05,ROAG_61149,Cuza Vodã,,0,EARDF,20181231,20151231,20161231,3586,100,0,0,0,,Construction of sewerage system = 7.54 km,0,National and local budget,NR,PD
1441,26865,RO05,ROAG_160136,Cerna,,0,,20181231,20151231,20161231,3529,100,0,2,0,,Construction of sewerage network = 12 km,2,National and local budget,NR,PD
1394,23253,2014EE,EERKA0820487,Valga,"
Some areas of the agglomeration are sparsely populated.  In these areas collecting systems will not be constructed and IAS will be used.
Reported investment costs do not include possible future investments into reconstruction of collecting systems.
",2905300,CF 2014-2020,20211201,20100101,20120801,13500,12.15,1.35,7006470,512700,,bulding and reconstruction of collecting systems,3588470,National funds,insufficient collection and IAS,NC
1395,23253,2014EE,EERKA0390077,Kärdla,Some areas of the agglomeration are sparesely populated. In these areas collecting systems will not be constructed and IAS will be used.,2094400,"CF 2007-2013,
CF 2014-2020",20211201,20140501,20150201,3839,3.455,0.384,2464000,369600,,bulding and reconstruction of collecting systems,0,,insufficient collection and IAS,NC
1396,23253,2014EE,EERKA0370025,Aruküla,Some areas of the agglomeration are sparesely populated. In these areas collecting systems will not be constructed and IAS will be used.,1224000,CF 2014-2020,20211201,20150101,20160101,2015,1.892,0.123,1440000,216000,,bulding and reconstruction of collecting systems,0,,insufficient collection and IAS,NC
1397,23253,2014EE,EERKA0370072,Keila jõe,"Some areas of the agglomeration are sparesely populated.
In these areas collecting systems will not be constructed and IAS will be used.",29773500,CF 2014-2020,20211201,20160701,20170101,9520,6.858,2.662,35027600,5254140,,"Dividing of unreasonably large agglomeration. Current boundaries are outdated. Dividing of the agglomeration is in process but as the agglomeration covers multiple local municipalities, the procedure of changing the agglomeration is complicated and time-consuming.",0,,insufficient collection and IAS,NC
1398,23253,2014EE,EERKA0370007,Muraste," Some areas of the agglomeration are sparesely populated.
In these areas collecting systems will not be constructed and IAS will be used.",3400000,CF 2014-2020,20211201,20160701,20170101,4860,4.314,0.546,4000000,600000,,bulding and reconstruction of collecting systems,0,,insufficient collection and IAS,NC
1399,23253,2014EE,EERKA0440091,Narva-Jõesuu, Some areas of the agglomeration are sparesely populated. In these areas collecting systems will not be constructed and IAS will be used.,3442500,CF 2014-2020,20211201,20160701,20170101,2900,2.61,0.29,4050000,607500,,bulding and reconstruction of collecting systems,0,,insufficient collection and IAS,NC
1400,23253,2014EE,EERKA0370008,Türisalu, Some areas of the agglomeration are sparesely populated. In these areas collecting systems will not be constructed and IAS will be used.,9180000,CF 2014-2020,20211201,20160701,20170101,5090,4.835,0.255,10800000,1620000,,bulding and reconstruction of collecting systems,0,,insufficient collection and IAS,NC
1401,23253,2014EE,EERKA0370009,Vääna-Jõesuu, Some areas of the agglomeration are sparesely populated. In these areas collecting systems will not be constructed and IAS will be used.,2635000,CF 2007-2013,20211201,20100101,20120801,6880,6.536,0.344,3100000,465000,,bulding and reconstruction of collecting systems,0,,insufficient collection and IAS,NC
1442,26865,RO05,ROAG_160396,Frecatei,,0,,20181231,20151231,20161231,3426,100,0,0,0,,Construction of sewerage network = 10 km,0,National and local budget,NR,PD
1444,26865,RO05,ROAG_63081,Topraisar ,,1,185,20181231,20121231,20131231,3238,100,0,1,0,,Extension of sewerage network = 8.14 km,0,,NR,PD
1446,26865,RO05,ROAG_161473,Turcoaia,,1,189,20181231,20121231,20131231,3187,100,0,1,0,,Extension of sewerage network = 6.4 km,0,,NR,PD
1402,26865,RO05,ROAG_60428,Constanta   ,,20,185,20161231,20101231,20111231,580621,100,0,20,0,,"Rehabilitation and expansion collector 5.15 km; Extension and rehabilitation of sewerage network = 88.106 kilometers; , New wastewater pumping stations = 6 pieces",0,,Extend the deadline for execution of works provided,NC
