Art17_FLAUWWTPID,ReportNetEnvelopeFileId,flatpComments,flatpEUFund,flatpEUFundName,flatpExpCapacity,flatpExpecDateCompletion,flatpExpecDatePerformance,flatpExpecDateStart,flatpExpecDateStartWork,flatpExpecTreatment,flatpExpLoad,flatpExpLoadTruck,flatpInv,flatpLoan,flatpLoanName,flatpMeasures,flatpOtherFund,flatpOtherFundName,flatpReasons,flatpStatus,repCode,uwwCode,uwwName
10774,27444,,0,0,20000,,,,,3NPm,,,,,,,,,dismissione dell'impianto di depurazione e allaccio all'impianto del Basso Tenna,C,,IT11Q90000001847,Rione Conceria_CMP_DEP
10775,27444,,0,0,20000,,,,,3NPm,,,,,,,,,dismissione dell'impianto di depurazione e allaccio all'impianto del Basso Tenna,C,,IT11Q90000001848,Girola PIP_CMP_DEP
10776,27444,"il progetto di potenziamento, prvede anche la rimozione del fosforo, la microfiltrazione e i raggi UV",,,27000,,,,,3m,17039,,,,,Potenziamento impianto di Castelbellino_DEP,,,"adeguamento COP dell'impianto, inferiore ai carichi collettati all'impianto",N,,IT11000000000095,CASTELBELLINO_DEP
10777,27444,Agglomerato in procedura d'infrazione 2004/2034,,,11000,,,,,3Nm,11000,,1280000,,,ID Delibera CIPE 60/2012 (33371) Adeguamento I.D c.da Fontanelle,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19AG00G0023DE004,IMPIANTO C.DAFONTANELLE
10778,27444,Agglomerato in procedura d'infrazione 2004/2034,,,,,,,,,,,,,,L'impianto è stato convertito in stazione di sollevamento per l'invio dei reflui verso l'impianto di c.da S.Anna. Tale intervento è già stato realizzato,,,Assenza di trattamento secondario,N,,IT19AG00G0023DE005,IMPIANTO VILLAGGIO PERUZZO
10779,27444,,70,FESR 2014/2020,4000,,,,,2,4000,,455179,,,Adeguamento impianto di depurazione,,,Assenza di trattamento secondario,N,,IT19AG00G0024DE001,IMPIANTO C.DA FRETTI
10780,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,16000,,,,,3m,13200,,828635.08,,,Progetto di adeguamento e ristrutturazione dell'impianto di depurazione per i reflui del Comune di Aragona,,,Una parte del carico raccolto non è inviata a trattamento,N,,IT19AG00G0025DE001,IMPIANTO C.DA VALLONE ALONGI
10781,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,5000,,,,,2,4700,,1300000,,,Comune di Bivona (AG) - Adeguamento dell’impianto di depurazione comunale,,,I risultati del trattamento non sono stati trasmessi.,N,,IT19AG00G0026DE001,IMPIANTO C.DA DELLE MACCHINE
10782,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,3808,,,,,3m,3808,,1800000,,,Comune di Burgio (AG) - Rifunzionalizzazione e  adeguamento normativo dell’impianto di depurazione,,,I risultati del trattamento non sono stati trasmessi.,N,,IT19AG00G0027DE001,IMPIANTO VALLONE GARELLA
10788,27444,,70,FESR 2014/2020,33000,,,,,2,33000,,,,,,,,Assenza di trattamento secondario,N,,IT19AG00G0033DE001,IMPIANTO C.DA PONTE BONAVIA
10794,27444,,70,FESR 2014/2020,35000,,,,,2,35000,,,,,,,,Performance di trattamento non conformi alla legge 152/2006,N,,IT19AG00G0039DE001,IMPIANTO C.DA BURGIALAMONE-CHIMENTO
10783,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,5200,,,,,3m,5143,,500000,,,1) Adeguamento impianto depurazione ; 2) Realizzazione di nuovo i.d. e collettore emissario a servizio della zona S.Anna,,,CATTIVO FUNZIONAMENTO,N,,IT19AG00G0029DE001,IMPIANTO C.DA S. LEO
10784,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,3100,,,,,3m,2913,,,,,Conformità strutturale - devono essere inviate le analisi non appena rese disponibili dal gestore,,,Una parte del carico raccolto non è inviata a trattamento,N,,IT19AG00G0030DE001,IMPIANTO C.DA FONTANA GRANDE (C.DA COSTA)
10785,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,6500,,,,,3m,6475,,,,,Conformità strutturale - devono essere inviate le analisi non appena rese disponibili dal gestore,,,Non è stato dimostrato che tutto il carico generato riceve un adeguato trattamento secondario,N,,IT19AG00G0031DE001,IMPIANTO C.DA S. MARTINO
10786,27444,,70,FESR 2014/2020,7000,,,,,2,6500,,2540000,,,Adeguamento impianto di depurazione Canale;,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19AG00G0032DE001,IMPIANTO N.O. C.DA CANALE
10787,27444,,70,FESR 2014/2020,7000,,,,,2,6500,,1326000,,,Adeguamento impianto di depurazione Milici,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19AG00G0032DE002,IMPIANTO DI S.E. C.DA MILICI
10789,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,12500,,,,,3m,12500,,,,,Conformità strutturale - devono essere inviate le analisi non appena rese disponibili dal gestore,,,CATTIVO FUNZIONAMENTO,N,,IT19AG00G0034DE001,IMPIANTO PONTE CALCARE
10790,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,4500,,,,,3Nm,3836,,,,,Conformità strutturale - devono essere inviate le analisi non appena rese disponibili dal gestore,,,CATTIVO FUNZIONAMENTO,N,,IT19AG00G0035DE001,IMPIANTO C.DA CASTELLACCIO
10791,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,10600,,,,,3m,8060,,650000,,,Lavori per l'adeguamento al Decreto Legislativo n. 152/2006 del sistema di smaltimento dei reflui,,,I risultati del trattamento non sono stati trasmessi.,N,,IT19AG00G0036DE001,IMPIANTO C.DA ZAGARELLA
10792,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,4400,,,,,3m,3548,,434903.5,,,Completamento rete fognaria,,,I risultati del trattamento non sono stati trasmessi.,N,,IT19AG00G0037DE001,IMPIANTO C.DA VITELLACCIO
10793,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,3000,,,,,3m,1380,,434903.5,,,Completamento rete fognaria,,,I risultati del trattamento non sono stati trasmessi.,N,,IT19AG00G0037DE002,IMPIANTO C.DA CANALARO
10795,27444,Agglomerato in procedura d'infrazione 2004/2034,,,60000,,,,,3NPm,60000,,19940000,,,"ID Delibera CIPE (33377) Nuovo I.D. a servizio fascia costiera Agrigento e comune di Favara
ID Delibera CIPE (33378) Adduzione dei reflui al nuovo I.D. di Agrigento fascia costiera",,,,,,IT19AG00G0039DE002,IMPIANTO C.DA F.NARO
10796,27444,,70,FESR 2014/2020,,,,,,3m,,,,,,,,,,N,,IT19AG00G0040DE001,IMPIANTO C.DA FIUMARA
10797,27444,,70,FESR 2014/2020,2500,,,,,2,2495,,,,,,,,Il carico generato in questo agglomerato non riceve un adeguato trattamento secondario.,N,,IT19AG00G0041DE001,IMPIANTO C.DA CURIALE (C.DA CACICI)
10798,27444,,70,FESR 2014/2020,3500,,,,,2,3471,,740000,,,Adeguamento del depuratore,,,,C,,IT19PA00G0040DE001,IMPIANTO C.DA SENIA
10799,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,4300,,,,,2,3685,,185000,,,REALIZZAZIONE NUOVI COLLETTORI,,,MANCANZA DI COLLETTAMENTO,N,,IT19PA00G0043DE001,IMPIANTO ISNELLO C.DA S. GIUSEPPE
10800,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,8000,,,,,2,2874,,1500000,,,RIATTIVAZIONE SECONDO MODULO E POTENZIAMENTO E ADEGUAMENTO IMPIANTO DI DEPURAZIONE,,,CATTIVO FUNZIONAMENTO,C,,IT19PA00G0045DE001,IMPIANTO C.DA EUFEMIA
10801,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,3326,,,,,2,3326,,1600000,,,COMPLETAMENTO IMPIANTO DI DEPURAZIONE E COLLETTAMENTO,,,MANCANZA DI COLLETTAMENTO,N,,IT19PA00G0048DE001,IMPIANTO C.DA SCIURZA
10802,27444,Agglomerato in procedura d'infrazione 2004/2034,,,26135,,,,,3Nm,21658,,3700000,,,ID Delibera CIPE 60/2012 (33411) Progetto di potenziamento e adeguamento impianto di depurazione,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19PA00G0049DE001,IMPIANTO C.DA S. ANTONIO (CANNETAZZO)
10803,27444,,70,FESR 2014/2020,39200,,,,,2,35600,,,,,,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19PA00G0050DE001,IMPIANTO C.DA SANTA LIBERATA
10804,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,6700,,,,,2,5955,,1865000,,,ADEGUAMENTO DEL DEPURATORE - REALIZZAZIONE COLLETTORI DI ALLACCIO,,,INTEGRAZIONE COLLETTAMENTO,N,,IT19PA00G0052DE001,IMPIANTO C.DA TRE VALLONI - FIORERA
10805,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,4000,,,,,2,3815,,796000,,,ADEGUAMENTO DEL DEPURATORE,,,CATTIVO FUNZIONAMENTO,C,,IT19PA00G0055DE001,IMPIANTO C.DA SACCU'
10816,27444,,70,FESR 2014/2020,38200,,,,,2,118876,,,,,,,,Performance di trattamento non conformi alla legge 152/2006,N,,IT19PA00G0067DE001,IMPIANTO SANTA FLAVIA
10818,27444,,70,FESR 2014/2020,30000,,,,,2,33290,,,,,,,,Assenza di trattamento secondario,N,,IT19PA00G0071DE001,IMPIANTO C.DA BARRATINA
10820,27444,,70,FESR 2014/2020,5000,,,,,2,5000,,,,,,,,Assenza di trattamento secondario,N,,IT19PA00G0074DE001,IMPIIANTO C/DA MOLARA (GINESTRE-S.ROSALIA)
10821,27444,,70,FESR 2014/2020,5000,,,,,2,5000,,,,,,,,Assenza di trattamento secondario,N,,IT19PA00G0074DE002,IMPIANTO S.NICOLA L'ARENA-SCALO MARITTIMO
10806,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,1200,,,,,2,1176,,796000,,,ADEGUAMENTO DEL DEPURATORE E COLLETTAMENTO,,,MANCANZA DI COLLETTAMENTO,N,,IT19PA00G0055DE002,IMPIANTO C.DA PIANELLO
10807,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,8800,,,,,2,5428,,,,,INTERVENTI GESTIONALI,,,ANALISI NON CONFORMI,C,,IT19PA00G0056DE002,IMPIANTO C. DA VURGI
10808,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,15100,,,,,2,10040,,2347790.42,,,ADEGUAMENTO DEL DEPURATORE E COLLETTAMENTO,,,INTEGRAZIONE COLLETTAMENTO,N,,IT19PA00G0057DE001,C/DA CAVALLARO
10809,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,8000,,,,,2,7510,,900000,,,ADEGUAMENTO IMPIANTO DI DEPURAZIONE,,,CATTIVO FUNZIONAMENTO,N,,IT19PA00G0058DE001,IMPIANTO C.DA IUNCI / SAN CALOGERO
10810,27444,,70,FESR 2014/2020,9250,,,,,2,7429,,2750000,,,Adeguamento e potenziamento degli impianti di depurazione di Pollina e di Finale di Pollina,,,Assenza di trattamento secondario,N,,IT19PA00G0059DE002,IMPIANTO C.DA RAIS GERBA
10811,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,7050,,,,,2,6909,,188000,,,ADEGUAMENTO DEL DEPURATORE,,,CATTIVO FUNZIONAMENTO,N,,IT19PA00G0060DE001,IMPIANTO C/DA FONTANA GRANDE
10812,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,2213,,,,,2,2213,,699740,,,IMPIANTO DI DEPURAZIONE CON RELATIVA RETE FOGNARIA PRINCIPALE,,,ASSENZA DI IMPIANTO DI DEPURAZIONE,N,,IT19PA00G0061DE001,IMPIANTO ROCCAMENA (PA)
10813,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,8600,,,,,2,4329,,565591,,,ADEGUAMENTO E POTENZIAMENTO DEL DEPURATORE E COLLETTAMENTO,,,INTEGRAZIONE COLLETTAMENTO,C,,IT19PA00G0062DE002,IMPIANTO S.FILIPPO
10814,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,15000,,,,,2,14700,,400000,,,IMPIANTO DI DEPURAZIONE CONSORTILE - CONDOTTA ADDUTRICE E SCARICATORE DI PIENA,,,MANCANZA DI COLLETTAMENTO,N,,IT19PA00G0064DE001,IMPIANTO C/DA MORTILLI
10815,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,4000,,,,,2,3837,,81250,,,ADEGUAMENTO DEL DEPURATORE E COLLETTAMENTO,,,INTEGRAZIONE COLLETTAMENTO,C,,IT19PA00G0065DE002,IMPIANTO CONTRADA MARCHESANA
10817,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,4500,,,,,2,3600,,549450,,,LAVORI DI MIGLIORAMENTO ED ADEGUAMENTO DELL'IMPIANTO DI DEPURAZIONE NEL COMUNE DI SCIARA,,,CATTIVO FUNZIONAMENTO,C,,IT19PA00G0068DE001,IMPIANTO C.DA COZZO DI GIOIA
10819,27444,Agglomerato in procedura d'infrazione 2004/2034,,,105000,,,,,2,21305,,15199466.46,,,ID Delibera CIPE 60/2012 (33508) Adeguamento impianto di depurazione,,,Assenza di trattamento secondario,N,,IT19PA00G0072DE001,IMPIANTO C.DA PRAIOCA
10822,27444,Agglomerato in procedura d'infrazione 2004/2034,,,20000,,,,,2,10990,,4367008,,,ID Delibera CIPE 60/2012(33339) Adeguamento e potenziamento del depuratore di c.da Giardini Piani,,,Assenza di trattamento secondario,N,,IT19PA00G0074DE003,IMPIANTO C/DA GIARDINI PIANI
10823,27444,Agglomerato in procedura d'infrazione 2004/2034,,,12000,,,,,2,7627,,2554689,,,ID Delibera CIPE (33509) Adeguamento Impianto di Depurazione,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19PA00G0075DE001,IMPIANTO C.DA PIANO TRAPPETO
10824,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,3716,,,,,2,3716,,,,,INTERVENTI GESTIONALI,,,ANALISI NON CONFORMI,N,,IT19PA00G0076DE001,IMPIANTO C.DA FALCONIERA
10825,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,6032,,,,,2,6032,,640000,,,ADEGUAMENTO DEL DEPURATORE,,,CATTIVO FUNZIONAMENTO,C,,IT19PA00G0077DE001,IMPIANTO C.DA ACQUA DELLA SIGNORA
10826,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,2700,,,,,2,2600,,2000000,,,Ampliamento e completamento dell’impianto di depurazione,,,CATTIVO FUNZIONAMENTO,N,,IT19PA00G0078DE001,IMPIANTO C.DA PILI
10827,27444,,70,FESR 2014/2020,5000,,,,,2,3100,,1402500,,,Adeguamento del depuratore. Nuovo impianto a servizio di Borgo Manganaro,,,Performance di trattamento non conformi alla legge 152/2006,N,,IT19PA00G0079DE001,IMPIANTO C.DA BEATRICE
10828,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,4201,,,,,2,4201,,1318000,,,ADEGUAMENTO E POTENZIAMENTO DEL DEPURATORE,,,CATTIVO FUNZIONAMENTO,N,,IT19PA00G0081DE001,IMPIANTO C.DA PIANO COLOSI
10829,27444,Agglomerato in procedura d'infrazione 2004/2034,,,880000,,,,,2,803880,,30480000,,,ID Delibera CIPE 60/2012 (33412) Adeguamento e potenziamento dell'impianto di depurazione di Acque dei Corsari ad 880.000 a.e. - Realizzazione del collettore di adduzione dei reflui dell'agglomerato di Altofonte Centro fino all'impianto di depurazione di Acqua dei Corsari,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19PA00G2001DE001,IMPIANTO ACQUA DEI CORSARI
10830,27444,Agglomerato in procedura d'infrazione 2004/2034,,,,,,,,,,,5500000,,,ID Delibera CIPE 60/2012 (33413) Adeguamento dell'impianto di depurazione di Fondoverde Giardini comprese le opere di scarico a mezzo di condotta sottomarina(Tale intervento è stato riorganizzato prevedendo la conversione dell'impianto di Fondo Verde in una stazione di sollevamento che invii i reflui verso l'impianto di depurazione di Acqua dei Corsari),,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19PA00G2001DE002,IMPIANTO FONDO VERDE - GIARDINI
10831,27444,,70,FESR 2014/2020,,,,,,,,,,,,L'impianto è stato convertito in stazione di sollevamento per l'invio dei reflui verso l'impianto di Acqua dei Corsari,,,Assenza di trattamento secondario,N,,IT19PA00G2001DE003,IMPIANTO AREA PORTO INDUSTRIALE
10832,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,7000,,,,,2,7000,,3815000,,,Adeguameto Impianto,,,Trattamento non adeguato,N,,IT19RG00G0021DE001,IMPIANTO C.DA CANALE
10833,27444,,70,FESR 2014/2020,7000,,,,,2,7000,,763000,,,adeguamento trattamento,,,,N,,IT19RG00G0022DE001,IMPIANTO C.DA MORANA
10834,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,32000,,,,,2,30400,,,,,Adeguameto Impianto,,,Trattamento non adeguato,N,,IT19RG00G0023DE001,IMPIANTO CONTRADA BALATELLE
10835,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,3000,,,,,2,2700,,0,,,Adeguameto Impianto,,,Trattamento non adeguato,N,,IT19RG00G0023DE002,IMPIANTO-FRAZIONE PEDALINO
10836,27444,,70,FESR 2014/2020,5200,,,,,2,2197,,872000,,,Adeguamento al D.Lgs 152/06,,,,C,,IT19RG00G0024DE001,CONTRADA COZZO RIPA
10837,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,8489,,,,,2,440,,250000,,,Adeguameto Impianto,,,Trattamento non adeguato,N,,IT19RG00G0025DE002,IMPIANTO S.MARIA DI FOCALLO/RIO FAVARA
10838,27444,,70,FESR 2014/2020,50000,,,,,2,49000,,,,,,,,Assenza di trattamento secondario,N,,IT19RG00G0026DE001,IMPIANTO C.DA FIUMARA
10839,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,4000,,,,,2,3888,,150000,,,Adeguameto Impianto,,,Trattamento non adeguato,C,,IT19RG00G0027DE001,IMPIANTO C.DA MOLINO NUOVO
10840,27444,Agglomerato in procedura d'infrazione 2004/2034,,,40000,,,,,2,35200,,1639565.7238,,,ID Delibera CIPE 60/2012 (33340) Manutenzione straordinaria degli impianti di depurazione comunale e consortile (linea civile) di C. da Lusia e adeguamento al D.Lgs 152/06,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19RG00G0029DE001,IMPIANTO C.DA LUSIA COMUNALE
10841,27444,,70,FESR 2014/2020,40829,,,,,2,38181,,3700000,,,Comune di S. Croce Camerina (RG) - Adeguamento alla normativa vigente dell'I.D. di C.da Pescazze,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19RG00G0030DE001,IMPIANTO C.DA PESCAZZE
10842,27444,Agglomerato in procedura d'infrazione 2004/2034,,,19741,,,,,2,14850,,2500000,,,ID Delibera CIPE 60/2012 (33341) Dismissione impianto di C.da Lodderi e realizzazione del collettamento al depuratore di C.da Cannarella (Arizza),,,,N,,IT19RG00G0031DE001,IMPIANTO C.DA LODDERI - CENTRO URBANO
10849,27444,,70,FESR 2014/2020,3700,,,,,2,2646,,,,,,,,Assenza di trattamento secondario,N,,IT19SR00G0003DE001,IMPIANTO C.DA ORTO PRINCIPE
10853,27444,,70,FESR 2014/2020,55000,,,,,2,10044,,,,,,,,Assenza di trattamento secondario,N,,IT19SR00G0011DE001,"IMPIANTO CONSORTILE C.DA RICEPUTO, C.DA PONTEROTTO (LENTINI)"
10859,27444,,70,FESR 2014/2020,27000,,,,,2,26645,,,,,,,,Assenza di trattamento secondario,N,,IT19SR00G0018DE001,IMPIANTO C.DA TAGLIATI
10843,27444,,70,FESR 2014/2020,30000,,,,,2,15380,,,,,,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19RG00G0031DE002,IMPIANTO C.DA CANNARELLA
10844,27444,,70,FESR 2014/2020,70000,,,,,3Nm,91826,,3451229.55,,,ID Delibera CIPE 60/2012(33342) Potenziamento e adeguamento dell'impianto di depurazione di Vittoria,,,Performance di trattamento non conformi alla legge 152/2006,N,,IT19RG00G0032DE001,CONTRADA MENDOLILLI
10845,27444,,70,FESR 2014/2020,,,,,,2,,,,,,Prevista riconversione dell'impianto in stazione di sollevamento per il rilancio dei reflui verso l'unico depuratore in c.da Mendolilli,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19RG00G0032DE002,FRAZIONE SCOGLITTI
10846,27444,Agglomerato in procedura d'infrazione 2004/2034,,,59400,,,,,2,51920,,2768895.1362,,,ID Delibera CIPE 60/2012 (33340) Manutenzione straordinaria degli impianti di depurazione comunale e consortile (linea civile) di C. da Lusia e adeguamento al D.Lgs 152/06,,,Assenza di trattamento secondario,N,,IT19RG00G4005DE001,IMPIANTO C\DA LUSIA - CONSORZIO A.S.I.
10847,27444,Agglomerato in procedura d'infrazione 2004/2034,,,57820,,,,,2,57820,,8283714.37,,,"ID Delibera CIPE 60/2012(33490) Completamento impianto di depurazione seconda linea biologico del comune di Augusta
ID Delibera CIPE 60/2012(33540) Interventi di verifica, completamento, messa in esercizio con il I lotto del progetto di depurazione di Augusta
ID Delibera CIPE 60/2012(33344) Costruzione collettore da Augusta Isola e Borgata al depuratore",,,Assenza di trattamento secondario,N,,IT19SR00G0001DE001,IMPIANTO DI DEPURAZIONE DI AUGUSTA
10848,27444,,70,FESR 2014/2020,40000,,,,,2,39200,,,,,,,,Assenza di trattamento secondario,N,,IT19SR00G0002DE001,IMIANTO DI DEPURAZIONE DI AVOLA
10850,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,11750,,,,,2,10428,,,,,Adeguameto Impianto,,,Trattamento non adeguato,N,,IT19SR00G0005DE001,IMPIANTO C.DA SCALA BAGNI
10851,27444,,70,FESR 2014/2020,4000,,,,,2,6000,,1156557.63,,,Adeguamento depuratore,,,Assenza di trattamento secondario,N,,IT19SR00G0008DE001,IMPIANTO C.DA SALTO
10852,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,20000,,,,,2,13720,,214000,,,Adeguameto Impianto,,,Impianto non connesso,N,,IT19SR00G0010DE001,IMPIANTO C.DA MARTELLETTO (I LOTTO)
10854,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,3015,,,,,2,0,,,,,Adeguameto Impianto,,,Impianto non connesso,N,,IT19SR00G0012DE001,IMPIANTO C.DA FONDACAZZO (FRAZ. VILLASMUNDO)
10855,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,10000,,,,,2,9900,,,,,Adeguameto Impianto,,,Trattamento non adeguato,N,,IT19SR00G0013DE001,IMPIANTO C.DA PASSO ABATE
10856,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,33000,,,,,2,11000,,,,,Adeguameto Impianto,,,Trattamento non adeguato,N,,IT19SR00G0013DE002,IMPIANTO FRAZ. CALABERNARDO
10857,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,10000,,,,,2,8970,,1570000,,,Adeguameto Impianto,,,Trattamento non adeguato,N,,IT19SR00G0014DE001,IMPIANTO C.DA LETTIERA
10858,27444,,70,FESR 2014/2020,10000,,,,,2,9800,,989708.17,,,Adeguamento imp depurazione contrada Fontana,,,Performance di trattamento non conformi alla legge 152/2006,N,,IT19SR00G0015DE001,IMPIANTO C.DA FONTANASECCA
10860,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,12000,,,,,2,9336,,1000000,,,Adeguameto Impianto,,,Trattamento non adeguato,N,,IT19SR00G0019DE001,IMPIANTO C.DA COSTA FIUME-IMPRIMO
10861,27444,,70,FESR 2014/2020,750000,,,,,2,36680,,,,,,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19SR00G7002DE001,IMPIANTO C.DA MAGNISI - CASALE VECCHIE SALINE (DEPURATORE IAS PRIOLO)
10863,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,1800,,,,,2,1651,,0,,,Interventi di miglioramento gestionale,,,Analisi non conformi,N,,IT19TP00G0002DE001,C/DA BADIA
10864,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,500,,,,,2,275,,0,,,Interventi di miglioramento gestionale,,,Analisi non conformi,N,,IT19TP00G0002DE002,C/DA BATTAGLIA EST
10865,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,500,,,,,2,413,,0,,,Interventi di miglioramento gestionale,,,Analisi non conformi,N,,IT19TP00G0002DE003,C/DA BATTAGLIA OVEST
10866,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,1500,,,,,2,1411,,0,,,Interventi di miglioramento gestionale,,,Analisi non conformi,N,,IT19TP00G0019DE003,C/DA GORGAZZO
10867,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,7000,,,,,2,4392,,0,,,Interventi di miglioramento gestionale,,,Analisi non conformi,N,,IT19TP00G0019DE004,C/DA FAVARELLA
10868,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,15000,,,,,2,7240,,1662872.74,,,Adeguameto Impianto,,,Trattamento non adeguato,N,,IT19TP00G0020DE001,C/DA TORRE DELL'USCERE
10869,27444,Agglomerato in procedura d'infrazione 2014/2059,70,FESR 2014/2020,7000,,,,,2,4977,,0,,,Interventi di miglioramento gestionale,,,Analisi non conformi,C,,IT19TP00G0021DE001,C/DA SCALDATO
10871,27444,Agglomerato in procedura d'infrazione 2009/2034,,,10000,,,,,2,,,1234920,,,Intervento ID 33676 Delibera CIPE (Adeguamento ID in contrada Anna Maria nel Comune di Valderice e completamento della rete fognaria-1° intervento),,,Assenza trattamento secondario,N,,IT19TP00G0023DE002,C/DA ANNA MARIA
10873,27444,,70,FESR 2014/2020,3000,,,,,2,2322,,961069.64,,,Manutenzione straordinaria per l'adeguamento al D.Lgs 152/06 dell'I.D. di C.da Rosalia,,,,N,,IT19TP00G0024DE001,C/DA ROSALIA
10874,27444,Agglomerato in procedura d'infrazione 2004/2034,,,15000,,,,,2,12046,,10000000,,,ID Delibera CIPE 60/2012(33493) Adeguamento depuratore con linee di trattamento aggiuntive,,,,C,,IT19TP00G5001DE002,C/DA CAMPANA
10875,27444,,70,FESR 2014/2020,75000,,,,,2,83526,,,,,,,,Percentuale di carico collettato da rete fognaria non inviato all'impianto superiore all'1% e comunque superiore a 2000 a.e.,N,,IT19TP00G6001DE001,C/DA SAN SILVESTRO
10876,27444,,0,nessuno,9333,,,,,3m,8241,,324371,,,ampliamento impianto esistente e collettamento rete NOTCON,,,rete fognaria non collettata ad impianto di trattamento,N,,IT03Q13000000450,RSFG0120130401_Besozzo - centro 7
